x, y
, 
um, um
0, 0.067264
0.411765, 0.0674536
0.823529, 0.0828068
1.23529, 0.103143
1.64706, 0.127158
2.05882, 0.144984
2.47059, 0.155406
2.88235, 0.125348
3.29412, 0.148486
3.70588, 0.14593
4.11765, 0.145985
4.52941, 0.130844
4.94118, 0.11729
5.35294, 0.140963
5.76471, 0.150483
6.17647, 0.132234
6.58824, 0.129287
7, 0.146362
7.41176, 0.140939
7.82353, 0.123329
8.23529, 0.0927057
8.64706, 0.0692918
9.05882, 0.0566897
9.47059, 0.0680243
9.88235, 0.069901
10.2941, 0.0697519
10.7059, 0.0655085
11.1176, 0.0776207
11.5294, 0.0822977
11.9412, 0.0998933
12.3529, 0.112267
12.7647, 0.122849
13.1765, 0.118707
13.5882, 0.155106
14, 0.16786
14.4118, 0.16674
14.8235, 0.161207
15.2353, 0.14727
15.6471, 0.13111
16.0588, 0.146478
16.4706, 0.168269
16.8824, 0.151693
17.2941, 0.183136
17.7059, 0.179798
18.1176, 0.185711
18.5294, 0.188739
18.9412, 0.20612
19.3529, 0.188057
19.7647, 0.193114
20.1765, 0.207934
20.5882, 0.194774
21, 0.198272
21.4118, 0.19731
21.8235, 0.17883
22.2353, 0.181511
22.6471, 0.199826
23.0588, 0.157458
23.4706, 0.148979
23.8824, 0.144974
24.2941, 0.131824
24.7059, 0.0830373
25.1176, 0.0774543
25.5294, 0.0475035
25.9412, 0.0800515
26.3529, 0.08909
26.7647, 0.0788463
27.1765, 0.0879861
27.5882, 0.0870539
28, 0.0562328
28.4118, 0.0480216
28.8235, 0.0544087
29.2353, 0.0730383
29.6471, 0.095546
30.0588, 0.0925252
30.4706, 0.0960522
30.8824, 0.106538
31.2941, 0.124959
31.7059, 0.127626
32.1176, 0.117846
32.5294, 0.117379
32.9412, 0.105914
33.3529, 0.0864482
33.7647, 0.0740023
34.1765, 0.0817786
34.5882, 0.0820525
35, 0.0826321
35.4118, 0.0812721
35.8235, 0.053095
36.2353, 0.0306382
36.6471, 0.0369197
37.0588, 0.0332598
37.4706, 0.0285251
37.8824, 0.0265193
38.2941, 0.0517084
38.7059, 0.0737388
39.1176, 0.0811373
39.5294, 0.0811438
39.9412, 0.0796287
40.3529, 0.0799075
40.7647, 0.0871125
41.1765, 0.0928966
41.5882, 0.1129
42, 0.117653
42.4118, 0.149158
42.8235, 0.186237
43.2353, 0.216235
43.6471, 0.244545
44.0588, 0.264933
44.4706, 0.234235
44.8824, 0.179237
45.2941, 0.141079
45.7059, 0.103304
46.1176, 0.0528436
46.5294, 0.0478874
46.9412, 0.0607393
47.3529, 0.0481836
47.7647, 0.0530693
48.1765, 0.0989376
48.5882, 0.107272
49, 0.11603
49.4118, 0.122501
49.8235, 0.131915
50.2353, 0.117286
50.6471, 0.119215
51.0588, 0.101541
51.4706, 0.0805523
51.8824, 0.0692575
52.2941, 0.0731007
52.7059, 0.0795892
53.1176, 0.09124
53.5294, 0.0843776
53.9412, 0.0892694
54.3529, 0.103399
54.7647, 0.0912832
55.1765, 0.0824152
55.5882, 0.0728294
56, 0.0843411
56.4118, 0.0705744
56.8235, 0.0514732
57.2353, 0.0582058
57.6471, 0.0449604
58.0588, 0.0483886
58.4706, 0.0673465
58.8824, 0.0576619
59.2941, 0.0700219
59.7059, 0.0558316
60.1176, 0.0673482
60.5294, 0.0895288
60.9412, 0.0916837
61.3529, 0.0897322
61.7647, 0.0834241
62.1765, 0.0688737
62.5882, 0.066783
63, 0.0559216
63.4118, 0.038477
63.8235, 0.0387508
64.2353, 0.0248621
64.6471, 0.0355534
65.0588, 0.0377133
65.4706, 0.0253114
65.8824, 0.0312603
66.2941, 0.0364633
66.7059, 0.0468275
67.1176, 0.0477203
67.5294, 0.0545566
67.9412, 0.0653371
68.3529, 0.0378582
68.7647, 0.0239805
69.1765, 0.0137526
69.5882, 0.0058795
70, 0.0167393
70.4118, 0.0132204
70.8235, 0.0336945
71.2353, 0.0518467
71.6471, 0.0247756
72.0588, 0.0199872
72.4706, -0.000581197
72.8824, -0.0124192
73.2941, -0.0021331
73.7059, 0.0414281
74.1176, 0.0447525
74.5294, 0.0457246
74.9412, 0.0418774
75.3529, 0.055463
75.7647, 0.0694344
76.1765, 0.095559
76.5882, 0.126047
77, 0.137648
77.4118, 0.106003
77.8235, 0.0739945
78.2353, 0.0346371
78.6471, 0.0181336
79.0588, -0.00704668
79.4706, 0.00294275
79.8824, 0.00485601
80.2941, -0.00264846
80.7059, -0.00240878
81.1176, 0.00539437
81.5294, 0.01226
81.9412, 0.016622
82.3529, 0.000197869
82.7647, 0.00460747
83.1765, 0.0230564
83.5882, 0.0445583
84, 0.0667498
84.4118, 0.0807664
84.8235, 0.0991872
85.2353, 0.121202
85.6471, 0.143917
86.0588, 0.172659
86.4706, 0.151758
86.8824, 0.139075
87.2941, 0.108722
87.7059, 0.101323
88.1176, 0.0930528
88.5294, 0.127484
88.9412, 0.144088
89.3529, 0.13135
89.7647, 0.146607
90.1765, 0.16376
90.5882, 0.149399
91, 0.142714
91.4118, 0.130727
91.8235, 0.122229
92.2353, 0.1122
92.6471, 0.127193
93.0588, 0.107467
93.4706, 0.110389
93.8824, 0.105864
94.2941, 0.105974
94.7059, 0.0980693
95.1176, 0.0751913
95.5294, 0.081388
95.9412, 0.112292
96.3529, 0.0890243
96.7647, 0.0721656
97.1765, 0.0864898
97.5882, 0.0640439
98, 0.0690785
98.4118, 0.0620135
98.8235, 0.0557077
99.2353, 0.0434083
99.6471, 0.0340081
100.059, 0.0356504
100.471, 0.0346303
100.882, 0.039765
101.294, 0.0716294
101.706, 0.0880678
102.118, 0.098382
102.529, 0.0873985
102.941, 0.111555
103.353, 0.0915375
103.765, 0.0722594
104.176, 0.0676516
104.588, 0.0570857
105, 0.0546666
105.412, 0.0620194
105.824, 0.0566792
106.235, 0.0700268
106.647, 0.0641349
107.059, 0.0636263
107.471, 0.0820275
107.882, 0.0981205
108.294, 0.0809835
108.706, 0.0731616
109.118, 0.043206
109.529, 0.022308
109.941, 0.00534182
110.353, 0.0076042
110.765, -0.0018717
111.176, -0.0183703
111.588, 0.0016826
112, 0.00357755
112.412, 0.00391122
112.824, -0.00295482
113.235, -0.00134307
113.647, 0.0085841
114.059, 0.00581597
114.471, 0.0123594
114.882, 0.0142543
115.294, 0.0172601
115.706, 0.0214255
116.118, 0.0246169
116.529, 0.0272174
116.941, 0.0291856
117.353, 0.0429836
117.765, 0.0521381
118.176, 0.050703
118.588, 0.0637209
119, 0.0761555
119.412, 0.074818
119.824, 0.0782376
120.235, 0.0942964
120.647, 0.100391
121.059, 0.102344
121.471, 0.112629
121.882, 0.118684
122.294, 0.125225
122.706, 0.118194
123.118, 0.134342
123.529, 0.140125
123.941, 0.160179
124.353, 0.165765
124.765, 0.181203
125.176, 0.206148
125.588, 0.196106
126, 0.184496
126.412, 0.178675
126.824, 0.178944
127.235, 0.113119
127.647, 0.124929
128.059, 0.106719
128.471, 0.128116
128.882, 0.128331
129.294, 0.129965
129.706, 0.103989
130.118, 0.0985154
130.529, 0.081028
130.941, 0.0707452
131.353, 0.0705125
131.765, 0.0794582
132.176, 0.0532709
132.588, 0.0441136
133, 0.0406313
133.412, 0.0431061
133.824, 0.0432359
134.235, 0.0570327
134.647, 0.0677094
135.059, 0.0837132
135.471, 0.0862063
135.882, 0.0800324
136.294, 0.10595
136.706, 0.0969888
137.118, 0.0873896
137.529, 0.0928112
137.941, 0.0920963
138.353, 0.0760689
138.765, 0.0543786
139.176, 0.0431803
139.588, 0.0259127
140, -0.0012378
140.412, 0.00191325
140.824, 0.0162166
141.235, 0.0474085
141.647, 0.065861
142.059, 0.0847604
142.471, 0.0919239
142.882, 0.111705
143.294, 0.119803
143.706, 0.139921
144.118, 0.140851
144.529, 0.158435
144.941, 0.14913
145.353, 0.165298
145.765, 0.144175
146.176, 0.10257
146.588, 0.0665203
147, 0.0504465
147.412, 0.0618874
147.824, 0.0673907
148.235, 0.0596604
148.647, 0.0794326
149.059, 0.0956696
149.471, 0.0839586
149.882, 0.09845
150.294, 0.0992719
150.706, 0.0803307
151.118, 0.0713663
151.529, 0.0642439
151.941, 0.0889696
152.353, 0.0892825
152.765, 0.0983064
153.176, 0.108639
153.588, 0.113341
154, 0.126848
154.412, 0.12416
154.824, 0.123114
155.235, 0.108607
155.647, 0.144558
156.059, 0.162818
156.471, 0.197497
156.882, 0.210315
157.294, 0.204119
157.706, 0.186036
158.118, 0.189
158.529, 0.203888
158.941, 0.258523
159.353, 0.290584
159.765, 0.284346
160.176, 0.282938
160.588, 0.260285
161, 0.257918
161.412, 0.292143
161.824, 0.327578
162.235, 0.306229
162.647, 0.301097
163.059, 0.277056
163.471, 0.289453
163.882, 0.28147
164.294, 0.251792
164.706, 0.226444
165.118, 0.0779063
165.529, 0.0645291
165.941, 0.0240473
166.353, 0.0030443
166.765, -0.03525
167.176, -0.0473723
167.588, -0.0642677
168, -0.0589047
168.412, -0.0504827
168.824, -0.0448365
169.235, -0.0581454
169.647, -0.0567522
170.059, -0.0736707
170.471, -0.0882223
170.882, -0.0856987
171.294, -0.0610669
171.706, -0.0645687
172.118, -0.0496964
172.529, -0.0239062
172.941, -0.0164485
173.353, -0.00842321
173.765, -0.0109399
174.176, -0.00738355
174.588, -0.0223258
175, -0.0113524
175.412, -0.0291609
175.824, -0.0324026
176.235, -0.0243993
176.647, -0.00790961
177.059, 0.00475926
177.471, 0.00243302
177.882, 0.011325
178.294, -0.00911644
178.706, 0.010696
179.118, -0.0244305
179.529, -0.0358779
179.941, -0.0987437
180.353, -0.124483
180.765, -0.135894
181.176, -0.182124
181.588, -0.168572
182, -0.132759
182.412, -0.150501
182.824, -0.176255
183.235, -0.193535
183.647, -0.218259
184.059, -0.209426
184.471, -0.200956
184.882, -0.197525
185.294, -0.210138
185.706, -0.203752
186.118, -0.187343
186.529, -0.188179
186.941, -0.18161
187.353, -0.180225
187.765, -0.183444
188.176, -0.182645
188.588, -0.166059
189, -0.176437
189.412, -0.178397
189.824, -0.16359
190.235, -0.158493
190.647, -0.152233
191.059, -0.164682
191.471, -0.153903
191.882, -0.15432
192.294, -0.144704
192.706, -0.136295
193.118, -0.131206
193.529, -0.108911
193.941, -0.0941421
194.353, -0.0648436
194.765, -0.041463
195.176, -0.0397866
195.588, -0.0277598
196, -0.015639
196.412, -0.0011232
196.824, -0.00446873
197.235, 0.0137372
197.647, 0.0289501
198.059, 0.0497757
198.471, 0.089333
198.882, 0.0721349
199.294, 0.0985684
199.706, 0.10979
200.118, 0.095603
200.529, 0.0966483
200.941, 0.118153
201.353, 0.118638
201.765, 0.0955692
202.176, 0.0845565
202.588, 0.0766284
203, 0.064412
203.412, 0.0496981
203.824, 0.0179749
204.235, -0.00289139
204.647, -0.0524393
205.059, -0.0294067
205.471, -0.0221309
205.882, -0.0262821
206.294, -0.0635485
206.706, -0.0907856
207.118, -0.12612
207.529, -0.128561
207.941, -0.16529
208.353, -0.187442
208.765, -0.221368
209.176, -0.215235
209.588, -0.242168
210, -0.242727
210.412, -0.241276
210.824, -0.251143
211.235, -0.254417
211.647, -0.248741
212.059, -0.242868
212.471, -0.218816
212.882, -0.186401
213.294, -0.17423
213.706, -0.18479
214.118, -0.197907
214.529, -0.18499
214.941, -0.194204
215.353, -0.173915
215.765, -0.168297
216.176, -0.143326
216.588, -0.116204
217, -0.109883
217.412, -0.0905074
217.824, -0.0959684
218.235, -0.090332
218.647, -0.0970076
219.059, -0.0981547
219.471, -0.127219
219.882, -0.107036
220.294, -0.0957242
220.706, -0.0722424
221.118, -0.0677314
221.529, -0.111155
221.941, -0.12333
222.353, -0.116535
222.765, -0.140536
223.176, -0.15069
223.588, -0.145352
224, -0.137392
224.412, -0.128613
224.824, -0.110579
225.235, -0.107982
225.647, -0.0974278
226.059, -0.0733429
226.471, -0.0854787
226.882, -0.103191
227.294, -0.109462
227.706, -0.113883
228.118, -0.0967868
228.529, -0.110832
228.941, -0.103179
229.353, -0.108801
229.765, -0.100597
230.176, -0.118622
230.588, -0.12328
231, -0.118508
231.412, -0.0966431
231.824, -0.0777047
232.235, -0.0829728
232.647, -0.0745142
233.059, -0.0833407
233.471, -0.0970011
233.882, -0.0998413
234.294, -0.100543
234.706, -0.115304
235.118, -0.117989
235.529, -0.110357
235.941, -0.112498
236.353, -0.111934
236.765, -0.0970771
237.176, -0.115225
237.588, -0.129545
238, -0.105687
238.412, -0.106624
238.824, -0.0988487
239.235, -0.0892341
239.647, -0.0928311
240.059, -0.102628
240.471, -0.0953204
240.882, -0.0702419
241.294, -0.0784227
241.706, -0.0701239
242.118, -0.0473183
242.529, -0.0367857
242.941, -0.0356036
243.353, -0.054568
243.765, -0.075112
244.176, -0.0708379
244.588, -0.0897401
245, -0.0990646
245.412, -0.125372
245.824, -0.106432
246.235, -0.115426
246.647, -0.116489
247.059, -0.12427
247.471, -0.160357
247.882, -0.190711
248.294, -0.164731
248.706, -0.159309
249.118, -0.162929
249.529, -0.137604
249.941, -0.127318
250.353, -0.134692
250.765, -0.170942
251.176, -0.146698
251.588, -0.193671
252, -0.202228
252.412, -0.203062
252.824, -0.207448
253.235, -0.202023
253.647, -0.172238
254.059, -0.189584
254.471, -0.200184
254.882, -0.19692
255.294, -0.210323
255.706, -0.201164
256.118, -0.174482
256.529, -0.154835
256.941, -0.132961
257.353, -0.048443
257.765, 0.0231541
258.176, 0.030314
258.588, 0.0583686
259, 0.0548839
259.412, -0.0991245
259.824, -0.208113
260.235, -0.268379
260.647, -0.299018
261.059, -0.353211
261.471, -0.341239
261.882, -0.341561
262.294, -0.320359
262.706, -0.329921
263.118, -0.281068
263.529, -0.262837
263.941, -0.266556
264.353, -0.255785
264.765, -0.251524
265.176, -0.274888
265.588, -0.281129
266, -0.279677
266.412, -0.273164
266.824, -0.259342
267.235, -0.249566
267.647, -0.235359
268.059, -0.210799
268.471, -0.200312
268.882, -0.178899
269.294, -0.179378
269.706, -0.153677
270.118, -0.112317
270.529, -0.117003
270.941, -0.116586
271.353, -0.0873155
271.765, -0.0852301
272.176, -0.0997439
272.588, -0.117302
273, -0.139619
273.412, -0.13275
273.824, -0.151045
274.235, -0.156269
274.647, -0.175269
275.059, -0.180879
275.471, -0.181974
275.882, -0.142586
276.294, -0.132616
276.706, -0.153909
277.118, -0.171807
277.529, -0.192682
277.941, -0.185297
278.353, -0.184426
278.765, -0.156807
279.176, -0.16252
279.588, -0.196652
280, -0.206508
280.412, -0.226945
280.824, -0.227074
281.235, -0.226212
281.647, -0.220039
282.059, -0.229899
282.471, -0.195568
282.882, -0.21065
283.294, -0.224838
283.706, -0.230448
284.118, -0.226347
284.529, -0.187338
284.941, -0.204681
285.353, -0.221474
285.765, -0.213233
286.176, -0.221964
286.588, -0.172156
287, -0.169492
287.412, -0.182558
287.824, -0.160405
288.235, -0.16255
288.647, -0.19368
289.059, -0.186187
289.471, -0.206836
289.882, -0.209803
290.294, -0.222719
290.706, -0.227705
291.118, -0.213532
291.529, -0.210906
291.941, -0.214292
292.353, -0.17957
292.765, -0.162605
293.176, -0.192293
293.588, -0.188338
294, -0.174478
294.412, -0.178261
294.824, -0.186371
295.235, -0.177997
295.647, -0.182657
296.059, -0.173645
296.471, -0.157522
296.882, -0.201865
297.294, -0.236899
297.706, -0.249442
298.118, -0.272457
298.529, -0.285999
298.941, -0.270557
299.353, -0.259523
299.765, -0.196352
300.176, -0.208611
300.588, -0.200839
301, -0.208369
301.412, -0.206383
301.824, -0.217186
302.235, -0.246575
302.647, -0.269117
